focal,baseline,n,winrate,winrate_ci_lo,winrate_ci_hi,p,utility_gap,utility_gap_ci_lo,utility_gap_ci_hi
pasct_K4,btgreedy,500,0.5058,0.5042,0.5076,0.0002,0.0235,0.0169,0.0310
pasct_K4,psystate_sctbok,500,0.5213,0.5175,0.5255,0.0002,0.0884,0.0721,0.1064
pasct_K4,psystate_pasct,500,0.5012,0.5002,0.5025,0.0002,0.0051,0.0010,0.0112
pasct_K4,lexicon,500,0.5369,0.5307,0.5435,0.0002,0.1537,0.1270,0.1818
pasct_K4,majority,500,0.5520,0.5459,0.5583,0.0002,0.2160,0.1899,0.2430
pasct_K4,misc,500,0.5549,0.5482,0.5620,0.0002,0.2283,0.1999,0.2588
pasct_K4,multiesc,500,0.5629,0.5566,0.5695,0.0002,0.2614,0.2342,0.2903
pasct_K4,transesc,500,0.5588,0.5521,0.5659,0.0002,0.2451,0.2165,0.2755
pasct_K4,oracle,500,0.5891,0.5817,0.5967,0.0002,0.3795,0.3462,0.4138
pasct_K4,pasct_collapse_mean,500,0.5010,0.5005,0.5016,0.0002,0.0041,0.0019,0.0065
pasct_K4,pasct_multidim,500,0.5011,0.5002,0.5025,0.0090,0.0049,0.0008,0.0112
