focal,baseline,n,winrate,winrate_ci_lo,winrate_ci_hi,p,utility_gap,utility_gap_ci_lo,utility_gap_ci_hi
pasct_collapse_mean,btgreedy,500,0.5048,0.5031,0.5066,0.0002,0.0194,0.0128,0.0269
pasct_collapse_mean,psystate_sctbok,500,0.5203,0.5165,0.5245,0.0002,0.0844,0.0680,0.1021
pasct_collapse_mean,psystate_pasct,500,0.5002,0.4990,0.5017,0.4483,0.0010,-0.0040,0.0076
pasct_collapse_mean,lexicon,500,0.5359,0.5297,0.5426,0.0002,0.1496,0.1230,0.1778
pasct_collapse_mean,majority,500,0.5510,0.5450,0.5572,0.0002,0.2119,0.1863,0.2386
pasct_collapse_mean,misc,500,0.5539,0.5472,0.5609,0.0002,0.2243,0.1960,0.2546
pasct_collapse_mean,multiesc,500,0.5619,0.5555,0.5686,0.0002,0.2573,0.2303,0.2862
pasct_collapse_mean,transesc,500,0.5578,0.5511,0.5647,0.0002,0.2411,0.2126,0.2712
pasct_collapse_mean,oracle,500,0.5881,0.5808,0.5957,0.0002,0.3754,0.3424,0.4098
pasct_collapse_mean,pasct_collapse_mean,500,0.5000,0.5000,0.5000,1.0000,0.0000,0.0000,0.0000
pasct_collapse_mean,pasct_multidim,500,0.5001,0.4990,0.5016,0.4621,0.0009,-0.0041,0.0074
