focal,baseline,n,winrate,winrate_ci_lo,winrate_ci_hi,p,utility_gap,utility_gap_ci_lo,utility_gap_ci_hi
pasct_multidim,btgreedy,500,0.5046,0.5026,0.5067,0.0002,0.0186,0.0098,0.0273
pasct_multidim,psystate_sctbok,500,0.5202,0.5165,0.5241,0.0002,0.0835,0.0681,0.1002
pasct_multidim,psystate_pasct,500,0.5000,0.4999,0.5002,0.3565,0.0002,-0.0005,0.0009
pasct_multidim,lexicon,500,0.5358,0.5297,0.5423,0.0002,0.1488,0.1229,0.1763
pasct_multidim,majority,500,0.5508,0.5449,0.5572,0.0002,0.2110,0.1853,0.2383
pasct_multidim,misc,500,0.5537,0.5473,0.5608,0.0002,0.2234,0.1957,0.2537
pasct_multidim,multiesc,500,0.5617,0.5555,0.5685,0.0002,0.2565,0.2297,0.2856
pasct_multidim,transesc,500,0.5577,0.5509,0.5647,0.0002,0.2402,0.2114,0.2704
pasct_multidim,oracle,500,0.5880,0.5807,0.5956,0.0002,0.3746,0.3419,0.4088
pasct_multidim,pasct_collapse_mean,500,0.4999,0.4984,0.5010,0.5381,-0.0009,-0.0074,0.0041
pasct_multidim,pasct_multidim,500,0.5000,0.5000,0.5000,1.0000,0.0000,0.0000,0.0000
