focal,baseline,n,winrate,winrate_ci_lo,winrate_ci_hi,p,utility_gap,utility_gap_ci_lo,utility_gap_ci_hi
pasct_no_constraints,btgreedy,500,0.5058,0.5042,0.5076,0.0002,0.0235,0.0169,0.0309
pasct_no_constraints,psystate_sctbok,500,0.5213,0.5175,0.5255,0.0002,0.0884,0.0721,0.1063
pasct_no_constraints,psystate_pasct,500,0.5012,0.5002,0.5025,0.0022,0.0050,0.0009,0.0111
pasct_no_constraints,lexicon,500,0.5369,0.5306,0.5435,0.0002,0.1537,0.1269,0.1818
pasct_no_constraints,majority,500,0.5520,0.5459,0.5583,0.0002,0.2159,0.1898,0.2430
pasct_no_constraints,misc,500,0.5548,0.5482,0.5620,0.0002,0.2283,0.1999,0.2588
pasct_no_constraints,multiesc,500,0.5628,0.5566,0.5695,0.0002,0.2613,0.2341,0.2903
pasct_no_constraints,transesc,500,0.5588,0.5521,0.5658,0.0002,0.2451,0.2165,0.2755
pasct_no_constraints,oracle,500,0.5891,0.5817,0.5967,0.0002,0.3794,0.3462,0.4138
pasct_no_constraints,pasct_collapse_mean,500,0.5010,0.5005,0.5016,0.0002,0.0040,0.0018,0.0064
pasct_no_constraints,pasct_multidim,500,0.5011,0.5002,0.5025,0.0104,0.0049,0.0007,0.0112
