focal,baseline,n,winrate,winrate_ci_lo,winrate_ci_hi,p,utility_gap,utility_gap_ci_lo,utility_gap_ci_hi
pasct_no_state,btgreedy,500,0.5047,0.5026,0.5068,0.0002,0.0189,0.0100,0.0276
pasct_no_state,psystate_sctbok,500,0.5203,0.5166,0.5242,0.0002,0.0838,0.0686,0.1005
pasct_no_state,psystate_pasct,500,0.5001,0.5000,0.5003,0.1212,0.0004,0.0000,0.0011
pasct_no_state,lexicon,500,0.5359,0.5298,0.5424,0.0002,0.1491,0.1233,0.1765
pasct_no_state,majority,500,0.5509,0.5450,0.5573,0.0002,0.2113,0.1856,0.2384
pasct_no_state,misc,500,0.5538,0.5474,0.5608,0.0002,0.2237,0.1960,0.2539
pasct_no_state,multiesc,500,0.5618,0.5556,0.5686,0.0002,0.2568,0.2299,0.2858
pasct_no_state,transesc,500,0.5577,0.5510,0.5648,0.0002,0.2405,0.2116,0.2706
pasct_no_state,oracle,500,0.5881,0.5808,0.5956,0.0002,0.3748,0.3422,0.4089
pasct_no_state,pasct_collapse_mean,500,0.4999,0.4985,0.5011,0.5057,-0.0006,-0.0071,0.0044
pasct_no_state,pasct_multidim,500,0.5001,0.5000,0.5002,0.1372,0.0003,0.0000,0.0007
